"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","173","Создание бронирования без обязательных параметров","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","165","Получение информации по бронированию с несуществующим id","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","25","Успешное получение id бронирований","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:12 GMT 2025","TestBooking","test_booking","",""
"","171","Создание бронирования без обязательных параметров","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","23","Удаление бронирования с невалидными данными аутентификации","tests","Sun Apr 13 20:33:13 GMT 2025","passed","Sun Apr 13 20:33:13 GMT 2025","TestAuth","test_auth","",""
"","126","Создание бронирования без обязательных параметров","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","26","Аутентификация в методе PUT /booking/:id с валидными данными","tests","Sun Apr 13 20:33:13 GMT 2025","passed","Sun Apr 13 20:33:13 GMT 2025","TestAuth","test_auth","",""
"","29","Успешное получение id бронирований","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","81","Успешное частичное обновление бронирования","tests","Sun Apr 13 20:33:10 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","54","Успешное частичное обновление бронирования","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","36","Успешное получение информации по бронированию","tests","Sun Apr 13 20:33:10 GMT 2025","passed","Sun Apr 13 20:33:10 GMT 2025","TestBooking","test_booking","",""
"","26","Успешное получение id бронирований","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","29","Аутентификация в методе PUT /booking/:id с валидными данными","tests","Sun Apr 13 20:33:12 GMT 2025","passed","Sun Apr 13 20:33:12 GMT 2025","TestAuth","test_auth","",""
"","742","Успешное получение id бронирований","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","51","Успешное обновление бронирования","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","22","Удаление бронирования с невалидными данными аутентификации","tests","Sun Apr 13 20:33:13 GMT 2025","passed","Sun Apr 13 20:33:13 GMT 2025","TestAuth","test_auth","",""
"","66","Успешное частичное обновление бронирования","tests","Sun Apr 13 20:33:10 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","50","Успешное частичное обновление бронирования","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","762","Успешное получение id бронирований","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","177","Создание бронирования без обязательных параметров","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","33","Успешное получение id бронирований","tests","Sun Apr 13 20:33:10 GMT 2025","passed","Sun Apr 13 20:33:10 GMT 2025","TestBooking","test_booking","",""
"","50","Успешное удаление бронирования","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","28","Успешное получение id бронирований","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","110","Успешное создание токена аутентификации","tests","Sun Apr 13 20:33:12 GMT 2025","passed","Sun Apr 13 20:33:12 GMT 2025","TestAuth","test_auth","",""
"","211","Создание бронирования без обязательных параметров","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","63","Успешное частичное обновление бронирования","tests","Sun Apr 13 20:33:10 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","53","Успешное частичное обновление бронирования","tests","Sun Apr 13 20:33:10 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","132","Создание бронирования без обязательных параметров","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","42","Успешное получение id бронирований","tests","Sun Apr 13 20:33:10 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","57","Успешное частичное обновление бронирования","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","244","Успешное создание бронирования","tests","Sun Apr 13 20:33:10 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
"","212","Создание бронирования без обязательных параметров","tests","Sun Apr 13 20:33:11 GMT 2025","passed","Sun Apr 13 20:33:11 GMT 2025","TestBooking","test_booking","",""
